Gene	ALU_GSE7334_ELIANA	ABA_GSE3454_FABIAN
orf114		0.40276941113960907	0.7489725637010367
At2g47590		0.21440292946535566	0.8569322427167957
At4g16170		0.31306241308973176	0.7854629682635985
At1g31930		0.420646780075734	0.8024324288735722
At1g57680		0.3540596246172023	0.7842247356484349
At5g17010		0.2132617076280251	0.790630005085688
At5g15630		0.10551715847376361	0.8404182762303278
At5g26080		0.40525157073434	0.6946925356342424
At5g66170		0.18290114652491146	0.5719625018893251
At5g65420		0.3661977697843953	0.7633979038442802
At5g65500		0.43257418451266294	0.5812815022634807
At5g58720		0.39331050753468044	0.9135261715122885
At5g56790		0.31161845624148016	0.8929005207637035
At5g53880		0.08494217676056887	0.6176019953686289
At5g39990		0.17878477123402747	0.7655603904095263
At5g39360		0.3254929567836477	0.8538023035720302
At5g23110		0.3120124925601271	0.8064702527880062
At5g17320		0.2850193302010485	0.7373486207312635
At5g11000		0.444291933558807	0.7249226519592267
At5g10420		0.29376318935735596	0.6051511108032752
At5g08560		0.36360365113537024	0.831777586741979
At5g07440		0.385184310730344	0.7364978725556945
At3g63290		0.023890909184144004	0.9520392019462597
At3g56000		0.36190950147000717	0.7950513098911232
At3g54810		0.3185576896530291	0.7657782193816668
At4g32810		0.4137141630735531	0.6760381238680682
At4g31780		0.4045496334024099	0.7684258823757251
At4g29530		0.3201438018828045	0.8893822765729318
At4g27890		0.3877379298755138	0.8257205207855318
At4g27750		0.12609585688593739	0.9091983889077169
At4g23900		0.39692732201208303	0.771347796880538
At4g23760		0.39421568391292006	0.6035372688571636
At4g23420		0.25978255559804536	0.68939202813878
At4g22570		0.28075232581128345	0.7500814531642687
At4g21350		0.257860847737572	0.8567519530856567
At4g20360		0.4273049012903448	0.9505790844544325
At4g19540		0.3959661767876619	0.8583037065271033
At4g13180		0.36230702215180605	0.7032835412879859
At4g13250		0.29538621099544843	0.7684365386820138
At4g12190		0.22438141744353357	0.6822230161359785
At4g03550		0.4189372133295842	0.738957382916571
At1g30160		0.3800524658103418	0.773671155229529
At1g56200		0.2211390087011933	0.8578006411446515
At3g11130		0.4125190787495852	0.7445858592813565
At3g52290		0.25520137411588867	0.8326091394537591
At3g21340		0.29537741303899223	0.5566018986356561
At3g13390		0.44701588655596697	0.730235307711605
At3g19310		0.39898188994883577	0.7329838367619131
At3g18040		0.41505532265133693	0.7913613035145349
At3g02990		0.34667372884443465	0.6887735616170236
At3g04460		0.38149812757975865	0.9594809302265424
At3g10080		0.11118021672486975	0.7508632044354289
At3g01720		0.39447155477814216	0.8353316765761181
At3g03620		0.2299926730210861	0.6622842664957396
At3g11410		0.0650276236440853	0.5746679949734714
At3g01140		0.24476945398368416	0.6711703895625296
At1g72180		0.27471452953084863	0.7393707197565977
At1g68400		0.28561158730083375	0.7416943780818142
At1g73260		0.39788765299075346	0.6349212379472073
At1g73910		0.3946039396001044	0.8268345797550991
At1g19525		0.34056043893817584	0.7807523463364044
At1g21580		0.2323180331957685	0.7273924550537654
At1g29090		0.15935203476103882	0.5570075754968203
At1g20090		0.2905242102771657	0.8381154263492308
At1g44960		0.3113255085432608	0.9112328436373589
At1g16020		0.16761572918894502	0.8714958780142955
At1g10650		0.14839104110862505	0.8962617730621221
At1g35610		0.16993540540669827	0.7925583116117678
At1g78070		0.09397079228080192	0.5909713003371078
At1g74970		0.1483868443576537	0.8569718915753917
At1g77930		0.43124178168447636	0.8266094711514502
At1g74760		0.3588376188635388	0.6855494908109716
At1g21790		0.24808309595932665	0.66033757545171
At1g15140		0.3134060426307576	0.7730724996315523
At1g75910		0.19507447798624666	0.7050851803529539
At1g54500		0.05729502151550098	0.7546403768912252
At2g17250		0.32484683408252213	0.6942803057649214
At2g35970		0.342301178941537	0.6125654173085233
At1g22660		0.36937287819981945	0.7272023583264154
At1g08900		0.13084500407730726	0.6810097551683079
At2g17900		0.2907382958109037	0.8809526279665848
At1g61090		0.3582099589525968	0.7217248751852475
At1g52010		0.35258212169981057	0.6562306309107162
At2g05810		0.4271363981604719	0.7312922754938549
At2g15695		0.3621532466758759	0.7543686535764487
At2g42300		0.3611202451510734	0.8443732435490778
At2g14980		0.2822321488329389	0.6410083310614398
At2g18510		0.12489896549733324	0.7675309821774509
At2g19560		0.35008075508772407	0.8649722204378861
At2g27550		0.31812392353051966	0.6913541596297881
At2g29510		0.2634471054291609	0.8220529989422294
At2g38790		0.40914888885093087	0.7669164718745543
At2g38670		0.4024585344908582	0.8216130303225722
At2g34190		0.3572995330814047	0.774042414673604
