"ID_REF"	"GSM78332"	"GSM78333"	"GSM78334"	"GSM78335"	"GSM78336"	"GSM78337"	"GSM78338"	"GSM78339"	"GSM78340"	"GSM78341"	"GSM78342"	"GSM78343"
"244901_at"	40	19.9	46.4	37.6	46.2	37.7	54.9	23.2	50.8	60	48.1	46.9
"244902_at"	74.3	49.9	42.6	50.9	47.8	63.6	76.9	32.9	57.5	59.1	47.3	36
"244903_at"	74.6	22.9	57.3	36.2	32.5	30.9	66.2	24.2	53.8	30.6	42	49.9
"244904_at"	9.1	42.4	15.8	28.7	11.8	7.3	23.7	4.5	6.1	3	3.9	5.9
"244905_at"	34.9	74.4	71.7	35.4	79.4	44.9	40.1	56.2	69.7	73.4	48.7	63.4
"244906_at"	41.1	20.3	66.5	22.6	22.6	39.9	21.9	19.2	76	24.8	17.4	77.4
"244907_at"	3.6	3.4	4.5	2.8	6.7	1.7	4.8	2.3	2.2	15.6	4.2	7.2
"244908_at"	2	2.2	1.8	1.6	2.3	2.1	2.6	1.6	2	2.2	1.8	2.1
"244909_at"	5.1	6.6	21.9	7.2	35.6	20.6	14.8	16.2	30.3	10.3	44.5	6.7
"244910_s_at"	24.3	31.2	33.4	44.2	34.7	38	24.4	36.1	34	24.1	28.5	18.1
"244911_at"	27.9	10.2	23.1	17.7	25.7	19.3	20	19.6	17.9	9.6	18	9.9
"244912_at"	545.9	715.2	1344.1	411.3	620.9	1118.2	482.6	468.5	1325	525.2	650.3	1698.3
"244913_at"	25.1	12.1	51	12.8	16.7	25.1	11.5	15.6	14.8	22.1	12.1	18.4
"244914_at"	12.1	2.1	9.9	25.4	1.1	16.6	10.1	2.4	2.5	12	6.7	3.3
"244915_s_at"	29.4	6.2	10.8	7.5	26.9	51.9	16.7	12	9.6	5.3	5.4	7.6
"244916_at"	33.7	26.5	40.1	26.1	7.6	5.3	8.7	17.3	25.5	18.3	28.1	10.6
"244917_at"	2	2	2.5	2.1	2.7	3.9	5.3	1.5	3	2.5	1.6	2.1
"244918_at"	31.1	33.8	46	25.2	20.8	6.3	27.8	11.5	23.7	10.6	12.7	4.9
"244919_at"	14.2	8.3	12.3	10.2	3.5	12.9	16.2	10.2	9.5	8.7	4.9	8.9
"244920_s_at"	101	79.7	88.8	79.7	97	99.7	65.3	97.6	93.2	76.6	84	85.4
"244921_s_at"	81.6	70.3	74.6	80.1	53.4	72.8	91.5	53.3	79.4	63	61.7	74
"244922_s_at"	37.6	27.9	30.1	27.3	20.5	59.6	65.2	24.2	55	51.9	36.6	32.2
"244923_s_at"	30.6	41.9	77.6	34.6	58.5	45.8	53.5	19.6	49.5	44.1	46.8	44.8
"244924_at"	49	7.4	37.2	17.5	45.8	50.9	37.6	27.4	58.1	56.7	7.7	11.7
"244925_at"	31.2	18.7	23.5	26.6	23.2	36.6	22.6	18.1	21.7	22	31.3	32
"244926_s_at"	5.3	3.6	4.2	3.1	4.3	2.8	4.5	3.5	4.8	7.2	3.1	3.1
"244927_at"	16	61.7	89.8	63	94.2	81.9	106.8	89.2	106.1	120.8	67.7	62.2
"244928_s_at"	110.7	73.9	141	88.6	154.7	158	94	135.8	94.1	113.5	79.5	112.1
"244929_at"	259.9	287.2	391.8	262.2	307.4	362.2	283.9	313.9	474.1	262.2	269.4	446.9
"244930_at"	26.3	11.2	30.5	25.5	36.8	29.3	48.1	29.3	16	37.5	19.1	33.5
"244931_at"	7.7	3.9	11.1	2.8	4.2	5	4.8	1.5	7	1.5	3	7.6
"244932_at"	591.4	852.4	1440.9	509.6	991.1	1199.6	421.5	617.1	1639.3	523.3	836.7	1493.9
"244933_at"	538	808	1079	338.1	494.7	904.8	252.2	431.8	1341.9	411.2	575.7	938.3
"244934_at"	95.6	150.3	253.2	123.5	168.5	239.3	112.4	126.2	230.2	129	132.4	187.6
"244935_at"	3324.7	4967.5	6091.4	3612.1	4487.7	5345.2	2615.7	4076.6	5895.9	4708.5	3985.4	5121
"244936_at"	1544.6	1714.5	2374.8	1259.4	1579.6	2199.5	870.2	1376	2531	1682.4	1509.4	2239.4
"244937_at"	135.7	194.6	192.5	103.8	229.1	198.2	119.1	97.1	299.6	120	148	238.9
"244938_at"	200.1	298.2	387.1	210.4	347.4	482.4	182.6	299.5	443.2	224.3	254.3	439.9
"244939_at"	66	107.7	176.4	37.5	149	165	64.5	105.3	201.4	80.5	105.7	215.8
"244940_at"	281.2	588.9	836.6	257.4	569.7	788.9	274.5	423.5	843	353.5	580.9	955.1
"244941_at"	75.7	71.1	85.9	82.6	96.7	61.7	90.2	62.6	92.3	57.7	67.3	75.6
"244942_at"	5.4	4.5	9.3	7.8	6.9	6.7	7.6	4.8	8.7	8.6	6.4	7.6
"244943_at"	103.5	58.3	69.8	76.2	59.4	57.4	83.8	71.5	72.9	56.5	30.9	68.1
"244944_s_at"	259.9	212.3	291.5	259.5	281.7	264.6	241.9	248.9	303.5	260.7	165.6	351.6
"244945_at"	92.1	72.7	94.6	86.3	112	83.2	100.1	83.7	97.8	69.8	89	97.5
"244946_at"	59.3	49.4	78.1	58.1	72.1	47.1	76.6	53.9	70	85.2	58.7	60.4
"244947_at"	53.2	40.2	47.4	49.1	46.7	51.6	76.5	44.6	41.7	53.1	39.8	47.5
"244948_at"	17.3	6.9	6.6	9.3	8.2	32.6	21.9	3.3	19.9	40.9	12.5	7.1
