Gene	ALU_GSE7334_ELIANA	ABA_GSE3454_FABIAN
At2g47590		0.21440292946535566	0.8567355867555906
At2g47540		0.3339361870415321	0.7664870102679471
At5g12370		0.4255404632175608	0.7941437730202027
At4g14210		0.3429585675160035	0.7572510698394967
At4g17610		0.331920330033476	0.7517683242724222
At4g17360		0.42439946575511284	0.6762203516306442
At4g14650		0.08851802308523002	0.9210806150180735
At5g20440		0.3268135840805755	0.7066189060470325
At1g31930		0.420646780075734	0.792198937223311
At5g17010		0.2132617076280251	0.7568634747571183
At5g25040		0.3232880794736981	0.8791447969426577
At5g04890		0.3424024604730935	0.7775723926620978
At5g63910		0.286509217003557	0.8284480659408876
At5g63890		0.3854936664231137	0.8672206004032323
At5g62040		0.12484298111764236	0.7395835735669405
At5g58720		0.39331050753468044	0.8369933209499052
At5g56630		0.11711181345656888	0.6299141329243787
At5g53880		0.08494217676056887	0.6461443850769849
At5g53540		0.3736602666748271	0.7989247161821516
At5g51570		0.4154527020468335	0.9004002570923426
At5g51110		0.34826714236061135	0.7307738369414587
At5g48200		0.016959230926409604	0.6370302480598711
At5g47230		0.41335207155884046	0.6191495795553359
At5g45910		0.40749537468107033	0.7203587099507911
At5g45430		0.4382871043191018	0.8046811220964625
At5g45620		0.2110358055068301	0.8601908513966426
At5g45590		0.35281500794285797	0.8246302040265201
At5g45020		0.221819705807225	0.7390748899780374
At5g45230		0.39331624512683366	0.7605493928755033
At5g38510		0.3748307912608536	0.6989204488984846
At5g36840		0.15294593075915597	0.688566948992579
At5g23390		0.3603073915448773	0.8314856747542361
At5g17320		0.2850193302010485	0.7478732985071173
At5g13960		0.2964601257489244	0.8301123564335251
At5g11000		0.444291933558807	0.7472592778159961
At5g10540		0.39743484470430956	0.8585632284246157
At5g09700		0.01969399299058671	0.6840507559805152
At5g05660		0.13458850626921778	0.6898967982863236
At3g63290		0.023890909184144004	0.8920111626133341
At3g55870		0.3529815800567011	0.7027661585770155
At3g55510		0.26221724066386465	0.6283908941205605
At3g45540		0.35769056461834786	0.639064907708047
At3g43900		0.3624829105659833	0.8197889825043593
At4g39530		0.35362492691164504	0.8367469110119339
At4g37780		0.3437523708952402	0.588133336461284
At4g32060		0.39879463179371577	0.8637619945671235
At4g31530		0.4084684206670191	0.7739105110710902
At4g29530		0.3201438018828045	0.9087565794640546
At4g27890		0.3877379298755138	0.8602377349055977
At4g22720		0.3465462443241597	0.7420639886969453
At4g19540		0.3959661767876619	0.863275943662388
At4g19880		0.3454686323902331	0.718245205220061
At4g19330		0.12826880479434197	0.6649606825724579
At4g11160		0.41488684169722134	0.8545255521280138
At4g00340		0.4019158779969144	0.7312332771894943
At1g32080		0.384387743983043	0.71811683922319
At1g13570		0.2582616536333234	0.8469386345056352
At1g30160		0.3800524658103418	0.8412817339499621
At3g52290		0.25520137411588867	0.8375669445389105
At3g13690		0.3290084361525406	0.6876991444546365
At3g13550		0.31618022328744655	0.8165923981512446
orf101b		0.3607594466120726	0.6636659418393527
At3g13226		0.3837130381571509	0.7723902019378197
At3g23030		0.21478261000436893	0.6645390916205243
At3g19810		0.3321242846925805	0.7972127423021778
At3g24590		0.241447688047212	0.7755740330256626
At3g24492		0.37705132354069804	0.9520660131278383
At3g02650		0.0037960822768141464	0.7768841162719649
At3g02920		0.34272599282845606	0.7988443767199357
At3g11860		0.4242959762717758	0.6898754151646964
At3g03970		0.4097366403023987	0.6866532962217113
At3g06483		0.1047733025519044	0.7918695203099315
At3g07510		0.41971949855700785	0.8749681986369332
At3g01680		0.4337009285513558	0.7419089049139636
At1g63050		0.32175124042210523	0.7577020424331493
At1g73320		0.3420605630628272	0.8465868305503923
At1g52820		0.2854294072856761	0.5937608630270935
At1g52840		0.3091793001119421	0.5994947172611483
At1g47250		0.35135845590302595	0.7863008260492499
At1g53240		0.18219161312631982	0.9360664259910423
At1g19290		0.3767849956152304	0.7225279815017345
At1g06930		0.14919014672592057	0.8537315993201758
At1g44960		0.3113255085432608	0.8369623012346941
At1g63610		0.4224827963136764	0.7444168745438309
At1g47330		0.39414267465900255	0.932698041452318
At1g16020		0.16761572918894502	0.9104066672353907
At1g35610		0.16993540540669827	0.785452452491691
At1g72870		0.33594623653849254	0.8411652239662666
At1g23450		0.3761337283048083	0.7434770791229532
At1g11160		0.16910561414202263	0.7594351110303281
At1g10720		0.4049339052122295	0.6891096503773693
At1g59790		0.3557024132156105	0.6653710450668835
At1g54500		0.05729502151550098	0.7241288946508468
At2g20460		0.2059244277958529	0.675523831416567
At2g22270		0.05897331131377509	0.6756360368941237
At2g04000		0.31877793638266916	0.7446057307510284
At2g24980		0.22695290559676018	0.7217484010845253
At2g16460		0.3970153617252359	0.8706121483994899
At1g60020		0.2874438224120494	0.6762092759381857
At2g22530		0.2584653420604854	0.822660497180443
At1g79070		0.4265718296340454	0.6882534165742702
At1g09380		0.22923331982698747	0.7473757276266242
At1g09020		0.19537927328817972	0.7160041359922882
At2g20210		0.394497074656579	0.9264632331044236
At2g37060		0.40437096679314993	0.7677420241853989
At2g14260		0.1234676603085046	0.9136909444471025
At2g20060		0.21916106585878425	0.7643515023017928
At2g31970		0.23334873831321723	0.7709028200257846
At2g29510		0.2634471054291609	0.7863814862195453
At2g38790		0.40914888885093087	0.7116323015900935
At2g30000		0.08712196406867014	0.6875925050631446
At2g34860		0.33133403335173983	0.7748665700456334
At2g26350		0.21699066099549635	0.993421756143225
At2g02700		0.40509309639180535	0.6214501528145833
