Gene	ALU_GSE7334_ELIANA	ABA_GSE3454_FABIAN
orf114		0.40276941113960907	0
orf110b		0.387318912465055	0
ycf5		0.4068923745417682	0
atpB		0.3841279200705414	0
At2g23170		0.38356109331468774	0
At2g40890		0.18624294193877694	0
At2g45230		0.1488776325474468	0
At2g47590		0.21440292946535566	0.8567355867555906
At2g47540		0.3339361870415321	0.7664870102679471
At5g12430		0.37331469872777895	0
At5g12370		0.4255404632175608	0.7941437730202027
At1g67830		0.43647035255423106	0
At4g16143		0.3084285063361546	0
At4g25580		0.025081074723322685	0
At4g14150		0.4334557040341449	0
At4g14210		0.3429585675160035	0.7572510698394967
At4g16146		0.29112731483329307	0
At4g14615		0.17542342669176014	0
At4g16442		0.3071666505298455	0
At4g17770		0.3539152030063822	0
At4g16690		0.3584953047670612	0
At4g17600		0.28971045103774473	0
At4g14965		0.3766087067500399	0
At4g17520		0.36871720903847954	0
At4g17610		0.331920330033476	0.7517683242724222
At4g17360		0.42439946575511284	0.6762203516306442
At4g16870		0.30752483942735215	0
At4g16050		0.4036506714685499	0
At4g16060		0.4026998405431808	0
At4g16170		0.31306241308973176	0
At4g15710		0.3308977471122445	0
At4g15740		0.3856134253490811	0
At4g15300		0.38246285074917225	0
At4g14650		0.08851802308523002	0.9210806150180735
At4g14695		0.3919603213552818	0
At4g14770		0.14042228026429557	0
At4g14550		0.21534941906422134	0
At1g56675		0.05231009075938391	0
At1g56570		0.27314728841507285	0
At1g56560		0.4181081389940926	0
At1g28320		0.24148768617717103	0
At5g04270		0.31784601507338384	0
At1g25988		0.08509915163552943	0
At1g33600		0.3919988846172628	0
At1g30260		0.2817807334390962	0
At1g35180		0.4271090419770982	0
At1g32200		0.410898448092835	0
At1g32100		0.3767366596814189	0
At1g46912		0.2747291708866154	0
At1g58420		0.006481366667577392	0
At5g13530		0.3982140130961943	0
At1g58025		0.332209253002521	0
At1g26230		0.38776952361634637	0
At5g09420		0.049201780521046505	0
At5g09440		0.37532681072269447	0
At5g11090		0.012840768601291228	0
At5g24750		0.39258845014222477	0
At5g28500		0.3719491669839261	0
At5g19710		0.4008144440728935	0
At5g19720		0.32153929110597607	0
At5g10700		0.4302295210252917	0
At5g21105		0.3566116413594711	0
At5g19450		0.28229231882636563	0
At5g19350		0.1337911846986801	0
At5g20220		0.4280601008113745	0
At5g20440		0.3268135840805755	0.7066189060470325
At5g20550		0.1375949208662606	0
At5g20390		0.39430078730428525	0
At5g32560		0.40307701481445546	0
At5g19880		0.4436734632313849	0
At5g20870		0.34605519708863763	0
At4g36800		0.2516899213435192	0
At1g31860		0.34939830774871017	0
At3g51820		0.36813549585764893	0
At1g31930		0.420646780075734	0.792198937223311
At3g56850		0.0441426943184637	0
At3g44900		0.36574131310272284	0
At3g56730		0.332768072914927	0
At1g16570		0.11118632844662459	0
At1g40150		0.14735716952670408	0
At1g51890		0.39155710964791013	0
At1g77360		0.25128720551025274	0
At1g58180		0.44832892719724676	0
At1g57680		0.3540596246172023	0
At1g57700		0.36670163929139793	0
At5g16750		0.37886966686527623	0
At5g17010		0.2132617076280251	0.7568634747571183
At5g16100		0.11497171122000023	0
At5g15630		0.10551715847376361	0
At1g31650		0.3940916246726816	0
At5g14830		0.4243488880514368	0
At5g14760		0.41651547569575015	0
At1g50730		0.37543346838938985	0
At5g34870		0.0948210317521263	0
At5g35240		0.39369706417712247	0
At5g34790		0.1646118546509011	0
At5g27760		0.4230328832131535	0
At5g27700		0.3340248128678563	0
At5g27830		0.3646660614730971	0
At5g26080		0.40525157073434	0
At5g25510		0.3945622888936479	0
At5g25880		0.3500197669273387	0
At5g25080		0.3703817191838806	0
At5g25360		0.4447755084932775	0
At5g25440		0.4022276995163866	0
At5g25040		0.3232880794736981	0.8791447969426577
At5g04890		0.3424024604730935	0.7775723926620978
At5g67290		0.39678279594915	0
At5g67420		0.3872457673736288	0
At5g66710		0.34686917561224406	0
At5g66890		0.4006069914308715	0
At5g66510		0.03778011011641342	0
At5g66060		0.3540226523086389	0
At5g66070		0.34055379593089763	0
At5g66170		0.18290114652491146	0
At5g66210		0.37186695089659183	0
At5g65670		0.1983585382188386	0
At5g65420		0.3661977697843953	0
At5g65500		0.43257418451266294	0
At5g65000		0.08626393498996503	0
At5g64640		0.409720320056208	0
At5g63910		0.286509217003557	0.8284480659408876
At5g63890		0.3854936664231137	0.8672206004032323
At5g63905		0.36317576797165946	0
At5g63450		0.38242989607323874	0
At5g63390		0.36162520184625985	0
At5g63050		0.28837172778042075	0
At5g62310		0.40092005728794755	0
At5g62420		0.38111542860872044	0
At5g61890		0.370315746132044	0
At5g62040		0.12484298111764236	0.7395835735669405
At5g61740		0.37065401519079205	0
At5g61410		0.2493398739179712	0
At5g61520		0.3637818560304523	0
At5g61010		0.4101759643802524	0
At5g61220		0.259663228206247	0
At5g60760		0.40694027713340997	0
At5g59980		0.3258260285991624	0
At5g59670		0.3365346584242311	0
At5g59730		0.39626172784848906	0
At5g59400		0.2305038218688324	0
At5g58720		0.39331050753468044	0.8369933209499052
At5g58620		0.4077746978366773	0
At5g57900		0.37562895209402275	0
At5g57890		0.24050342736302466	0
At5g57850		0.09962829134258519	0
At5g57970		0.23681325112743112	0
At5g57345		0.08404258755494816	0
At5g57540		0.427191791382469	0
At5g56630		0.11711181345656888	0.6299141329243787
At5g56790		0.31161845624148016	0
At5g56190		0.34142535053031275	0
At5g56230		0.3999398006600282	0
At5g55530		0.2776259479868155	0
At5g55340		0.4142899592262956	0
At5g55580		0.24645396278712806	0
At5g55770		0.06439965403143626	0
At5g54540		0.31520244896437516	0
At5g54930		0.21160057810884325	0
At5g53880		0.08494217676056887	0.6461443850769849
At5g54190		0.3730013130995469	0
At5g53540		0.3736602666748271	0.7989247161821516
At5g53490		0.3887415609681647	0
At5g52900		0.20907561940907604	0
At5g52800		0.25324678050301935	0
At5g52180		0.31799024215275484	0
At5g52220		0.4033806316496072	0
At5g51950		0.24593790273474891	0
At5g51570		0.4154527020468335	0.9004002570923426
At5g51600		0.41387548456342765	0
At5g51800		0.23263579814484314	0
At5g51310		0.41156338468530307	0
At5g51320		0.3841748807411615	0
At5g51110		0.34826714236061135	0.7307738369414587
At5g51050		0.2985679300856622	0
At5g50780		0.39664268079914583	0
At5g50400		0.30260030801123566	0
At5g50410		0.23972515989942256	0
At5g50420		0.35342254005507073	0
At5g49945		0.3496793043405753	0
At5g49950		0.25988002400374394	0
At5g50240		0.224519604302455	0
At5g49830		0.37090374288009076	0
At5g49900		0.33752225576957107	0
At5g49170		0.22475248180681756	0
At5g48940		0.39876452545900315	0
At5g48960		0.31422490391314606	0
At5g48820		0.02459063758402579	0
At5g48410		0.2638325282675578	0
At5g48170		0.39174494870104026	0
At5g48200		0.016959230926409604	0.6370302480598711
At5g47890		0.3871280110593411	0
At5g47650		0.40092872429829085	0
At5g47230		0.41335207155884046	0.6191495795553359
At5g47150		0.38841270362332136	0
