244901_at	orf25
244902_at	nad4L
244903_at	orf149
244904_at	orf275
244905_at	orf122c
244906_at	orf240a
244907_at	orf120
244908_at	orf107d
244909_at	orf100a
244910_s_at	orf119
244911_at	orf170
244912_at	ccb382
244913_at	orf121b
244914_at	orf107e
244915_s_at	orf158
244916_at	orf187
244917_at	orf184
244918_at	orf106d
244919_at	ccb203
244920_s_at	nad3
244921_s_at	orf114
244922_s_at	orf118
244923_s_at	orf135b
244924_at	orf107f
244925_at	nad7
244926_s_at	matR
244927_at	orf109
244928_s_at	orfX
244929_at	nad4
244930_at	orf106c
244931_at	orf110b
244932_at	psaC
244933_at	ndhE
244934_at	ndhG
244935_at	ndhI
244936_at	ndhA
244937_at	ndhH
244938_at	rps15
244939_at	rps12.1
244940_at	rps12.2
244941_at	orf153a
244942_at	orf131
244943_at	nad9
244944_s_at	rpl16.mitochondria
244945_at	ccb206
244946_at	orf143
244947_at	orf121a
244948_at	orf167
244949_at	orf116
244950_at	cox2
244951_s_at	ccb452
244952_at	orf101a
244953_s_at	nad6
244954_s_at	orf110a
244955_at	orf127
244956_s_at	orf154
244957_at	orf157
244958_at	orf106b
244959_s_at	orf107c
244960_at	rpl32
244961_at	ycf5
244962_at	ndhD
244963_at	psbF
244964_at	psbE
244965_at	ORF31
244966_at	petG
244967_at	psaJ
244968_at	rpl33
244969_at	rps18
244970_at	rpl20
244971_at	clpP
244972_at	psbB
244973_at	psbT
244974_at	psbN
244975_at	psbH
244976_at	petB
244977_at	petD
244978_at	rpoA
244979_at	rps11
244980_at	rpl36
244981_at	rps8
244982_at	rpl14
244983_at	rpl16.chloroplast
244984_at	rps3.chloroplast
244985_at	rpl22
244986_at	rps19
244987_s_at	rpl2.1_chloro
244988_s_at	rpl23.1
244989_s_at	ycf2.1
244990_s_at	orf77.1
244991_s_at	ndhB.1
244992_s_at	rps7.1_chloroplast
244993_s_at	ycf1.1
244994_at	ndhF
244995_at	atpI
244996_at	rps2
244997_at	rpoC2
244998_at	rpoC1
244999_at	rpoB
245000_at	ycf6
245001_at	psbM
245002_at	psbD
245003_at	psbC
245004_at	ycf9
245005_at	rps14
245006_at	psaB
245007_at	psaA
245008_at	ycf3
245009_at	rps4.chloroplast
245010_at	ndhJ
245011_at	psbG
245012_at	ndhC
245013_at	atpE
245014_at	atpB
245015_at	rbcL
245016_at	accD
245017_at	psaI
245018_at	ycf4
245019_at	ycf10_cemA
245020_at	petA
245021_at	psbJ
245022_at	psbL
245023_at	psbI
245024_at	atpA
245025_at	atpF
245026_at	atpH
245027_at	At2g26550
245028_at	At2g26570
245029_at	At2g26580
245030_at	At2g26620
245031_at	At2g26360
245032_at	At2g26630
245033_at	At2g26380
245034_at	At2g26390
245035_at	At2g26400
245036_at	At2g26410
245037_at	At2g26420
245038_at	At2g26560
245039_at	At2g26600
245040_at	At2g26520
245041_at	At2g26530
245042_at	At2g26540
245043_at	At2g26430
245044_at	At2g26500
245045_at	At2g26590
245046_at	At2g26510
245047_at	psbA
245048_at	matK
245049_at	rps16
245050_at	psbK
245051_at	At2g23320
245052_at	At2g26440
245053_at	At2g26450
245054_at	At2g26460
245055_at	At2g26470
245056_at	At2g26480
245057_at	At2g26490
245058_at	At2g39790
245059_at	At2g39720
245060_at	At2g39770
245061_at	At2g39730
245062_at	At2g39760
245063_at	At2g39795
245064_at	At2g39725
245065_at	At2g39750
245066_at	At2g39840
245067_at	At2g39780
245068_at	At2g23260
245069_at	At2g23250
245070_at	At2g23240
245071_at	At2g23230
245072_s_at	At2g23220
245073_at	At2g23210
245074_at	At2g23200
245075_at	At2g23180
245076_at	At2g23170
245077_at	At2g23160
245078_at	At2g23340
245079_at	At2g23330
245080_at	At2g23300
245081_at	At2g23280
245082_at	At2g23270
245083_at	At2g23310
245084_at	At2g23290
245085_at	At2g23350
245086_at	At2g39820
245087_at	At2g39830
245088_at	At2g39850
245089_at	At2g45290
245090_at	At2g40900
245091_at	At2g40910
245092_at	At2g40950
245093_at	At2g40820
245094_at	At2g40840
245095_at	At2g40870
245096_at	At2g40880
245097_at	At2g40935
245098_at	At2g40940
245099_at	At2g40830
245100_at	At2g40930
245101_at	At2g40890
245102_at	At2g41580
245103_at	At2g41590
245104_at	At2g41600
245105_at	At2g41610
245106_at	At2g41650
245107_at	At2g41690
245108_at	At2g41510
245109_at	At2g41520
245110_at	At2g41550
245111_at	At2g41570
245112_at	At2g41540
245113_at	At2g41660
245114_at	At2g41630
245115_at	At2g41530
245116_at	At2g41620
245117_at	At2g41560
245118_at	At2g41680
245119_at	At2g41640
245120_at	At2g39810
245121_at	At2g47610
245122_at	At2g47420
245123_at	At2g47450
245124_at	At2g47580
245125_at	At2g47430
245126_at	At2g47460
245127_at	At2g47600
245128_at	At2g45380
245129_at	At2g45350
245130_at	At2g45340
245131_s_at	At2g45330
245132_at	At2g45320
245133_at	At2g45310
245134_s_at	At2g45250
245135_at	At2g45230
245136_at	At2g45210
245137_at	At2g45460
245138_at	At2g45190
245139_at	At2g45430
245140_at	At2g45420
245141_at	At2g45400
245142_at	At2g45270
245143_at	At2g45450
245144_at	At2g45240
245145_at	At2g45440
245146_at	At2g45200
245147_at	At2g45280
245148_at	At2g45220
245149_at	At2g47620
245150_at	At2g47590
245151_at	At2g47550
245152_at	At2g47490
245153_at	At5g12450
245154_at	At5g12460
245155_at	At5g12470
245156_at	At5g12480
245157_at	At2g33160
245158_at	At2g33130
245159_at	At2g33100
245160_at	At2g33080
245161_at	At2g33070
245162_at	At2g33240
245163_at	At2g33230
245164_at	At2g33210
245165_at	At2g33180
245166_at	At2g33170
245167_s_at	At2g33120
245168_at	At2g33150
245169_at	At2g33220
245170_at	At2g47570
245171_at	At2g47560
245172_at	At2g47540
245173_at	At2g47520
245174_at	At2g47500
245175_at	At2g47470
245176_at	At2g47440
245177_at	At5g12380
245178_at	At5g12390
245179_at	At5g12400
245180_at	At5g12410
245181_at	At5g12420
245182_at	At5g12430
245183_at	At5g12440
245184_at	At1g67790
245185_at	At1g67760
245186_at	At1g67710
245187_s_at	At1g67680
245188_at	At1g67660
245189_at	At1g67670
245190_at	At1g67690
245191_at	At1g67770
245192_at	At1g67780
245193_at	At1g67810
245194_at	At1g67820
245195_at	At1g67740
245196_at	At1g67750
245197_at	At1g67800
245198_at	At1g67700
245199_at	At1g67730
245200_at	At1g67850
245201_at	At1g67840
245202_at	At1g67720
245203_at	At3g33080
245204_at	At5g12270
245205_at	At5g12280
245206_at	At5g12290
245207_at	At5g12310
245208_at	At5g12330
245209_at	At5g12340
245210_at	At5g12350
245211_at	At5g12370
245212_at	At1g44254
245213_at	At1g44575
245214_at	At1g67855
245215_at	At1g67830
245216_at	At4g16143
245217_at	At1g38340
245218_s_at	At1g58842
245219_at	At1g59124
245220_at	At1g59171
245221_s_at	At1g59265
245222_at	At3g29787
245223_at	At3g29791
245224_at	At3g29796
245225_at	At3g29800
245226_at	At3g29970
245227_s_at	At3g30140
245228_at	At3g29810
245229_at	At4g25620
245230_at	At4g25610
245231_at	At4g25600
245232_at	At4g25590
245233_at	At4g25580
245234_at	At4g25560
245235_at	At4g25550
245236_at	At4g25540
245237_at	At4g25520
245238_at	At4g25570
245239_at	At4g25530
245240_at	At1g44510
245241_at	At1g44478
245242_at	At1g44446
245243_at	At1g44414
245244_at	At1g44350
245245_at	At1g44318
245246_at	At1g44222
245247_at	At4g17230
245248_at	At4g15415
245249_at	At4g16760
245250_at	At4g17490
245251_at	At4g17615
245252_at	At4g17500
245253_at	At4g15440
245254_at	At4g14680
245255_at	At4g14110
245256_at	At4g15090
245257_at	At4g14640
245258_at	At4g15340
245259_at	At4g14150
245260_at	At4g16360
245261_at	At4g14385
245262_at	At4g16563
245263_at	At4g17740
245264_at	At4g17245
245265_at	At4g14400
245266_at	At4g17070
245267_at	At4g14060
245268_at	At4g16570
245269_at	At4g14500
245270_at	At4g14960
245271_at	At4g16430
245272_at	At4g17250
245273_at	At4g14950
245274_at	At4g14360
245275_at	At4g15210
